KLK3_gene_relative_expression,Androgens,Enzalutamide,Replicates,Time
1,VC,0uM,B1,96h
1,VC,0uM,B2,96h
1,VC,0uM,B3,96h
1.353637354,T,0uM,B1,96h
2.012492786,T,0uM,B2,96h
1.680888128,T,0uM,B3,96h
33.92440042,epiT,0uM,B1,96h
25.15575827,epiT,0uM,B2,96h
38.3123847,epiT,0uM,B3,96h
0.12538633,VC,2uM,B1,96h
0.334502691,VC,2uM,B2,96h
0.459933,VC,2uM,B3,96h
0.204684261,T,2uM,B1,96h
0.371739734,T,2uM,B2,96h
0.384643913,T,2uM,B3,96h
3.769071747,epiT,2uM,B1,96h
5.585172018,epiT,2uM,B2,96h
6.547123559,epiT,2uM,B3,96h
1,VC,0uM,B1,48h
1,VC,0uM,B2,48h
1,VC,0uM,B3,48h
3.742582953,T,0uM,B1,48h
6.033825154,T,0uM,B2,48h
4.875818865,T,0uM,B3,48h
27.49353211,epiT,0uM,B1,48h
43.66796799,epiT,0uM,B2,48h
47.14081016,epiT,0uM,B3,48h
0.253887642,VC,2uM,B1,48h
0.462205463,VC,2uM,B2,48h
0.526868834,VC,2uM,B3,48h
0.616295019,T,2uM,B1,48h
0.810135794,T,2uM,B2,48h
0.808903943,T,2uM,B3,48h
3.397297278,epiT,2uM,B1,48h
6.693645419,epiT,2uM,B2,48h
6.14010465,epiT,2uM,B3,48h
1,VC,0uM,B1,24h
1,VC,0uM,B2,24h
1,VC,0uM,B3,24h
32.97496107,T,0uM,B1,24h
27.01415864,T,0uM,B2,24h
34.80124581,T,0uM,B3,24h
38.95982498,epiT,0uM,B1,24h
22.11687038,epiT,0uM,B2,24h
44.54406781,epiT,0uM,B3,24h
0.52480042,VC,2uM,B1,24h
0.611175874,VC,2uM,B2,24h
0.823575382,VC,2uM,B3,24h
10.23524779,T,2uM,B1,24h
6.79807027,T,2uM,B2,24h
7.469908762,T,2uM,B3,24h
7.345106448,epiT,2uM,B1,24h
6.519647347,epiT,2uM,B2,24h
8.322573602,epiT,2uM,B3,24h
