Relative_cell_proliferation,Group,Replicates
1.030444965,VC,B1
1.058548009,VC,B1
1.011709602,VC,B1
0.899297424,VC,B1
1.147540984,API-2,B1
1.170960187,API-2,B1
1.138173302,API-2,B1
1.039812646,API-2,B1
1.194379391,Cortisol,B1
1.072599532,Cortisol,B1
1.016393443,Cortisol,B1
0.903981265,Cortisol,B1
1.367681499,Cortisol_API-2,B1
1.362997658,Cortisol_API-2,B1
1.330210773,Cortisol_API-2,B1
1.634660422,Cortisol_API-2,B1
1.097744361,VC,B2
0.864661654,VC,B2
0.902255639,VC,B2
1.135338346,VC,B2
1.187969925,API-2,B2
1.210526316,API-2,B2
1.105263158,API-2,B2
1.37593985,API-2,B2
1.007518797,Cortisol,B2
0.887218045,Cortisol,B2
0.804511278,Cortisol,B2
0.977443609,Cortisol,B2
2.541353383,Cortisol_API-2,B2
2.330827068,Cortisol_API-2,B2
2.421052632,Cortisol_API-2,B2
2.428571429,Cortisol_API-2,B2
1.169129721,VC,B3
0.775041051,VC,B3
1.011494253,VC,B3
1.044334975,VC,B3
1.471264368,API-2,B3
1.287356322,API-2,B3
1.320197044,API-2,B3
1.438423645,API-2,B3
1.077175698,Cortisol,B3
0.880131363,Cortisol,B3
0.939244663,Cortisol,B3
1.05090312,Cortisol,B3
3.356321839,Cortisol_API-2,B3
2.397372742,Cortisol_API-2,B3
2.568144499,Cortisol_API-2,B3
3.592775041,Cortisol_API-2,B3
