TMPRSS2_gene_relative_expression,Androgens,Enzalutamide,Replicates,Time
1,VC,0uM,B1,96h
1,VC,0uM,B2,96h
1,VC,0uM,B3,96h
0.871346912,T,0uM,B1,96h
0.874294053,T,0uM,B2,96h
1.025514822,T,0uM,B3,96h
16.47773609,epiT,0uM,B1,96h
17.56728127,epiT,0uM,B2,96h
21.63431188,epiT,0uM,B3,96h
0.519894095,VC,2uM,B1,96h
0.527036731,VC,2uM,B2,96h
0.611980382,VC,2uM,B3,96h
0.603520566,T,2uM,B1,96h
0.56253076,T,2uM,B2,96h
0.624976834,T,2uM,B3,96h
2.953152501,epiT,2uM,B1,96h
2.777464042,epiT,2uM,B2,96h
3.175388384,epiT,2uM,B3,96h
1,VC,0uM,B1,48h
1,VC,0uM,B2,48h
1,VC,0uM,B3,48h
1.406092072,T,0uM,B1,48h
1.597884046,T,0uM,B2,48h
1.563973414,T,0uM,B3,48h
19.98534758,epiT,0uM,B1,48h
28.29859535,epiT,0uM,B2,48h
29.69466404,epiT,0uM,B3,48h
0.662181885,VC,2uM,B1,48h
0.735814036,VC,2uM,B2,48h
0.744371525,VC,2uM,B3,48h
0.646835419,T,2uM,B1,48h
0.817137399,T,2uM,B2,48h
0.717985225,T,2uM,B3,48h
2.012901214,epiT,2uM,B1,48h
3.09869436,epiT,2uM,B2,48h
2.819000912,epiT,2uM,B3,48h
1,VC,0uM,B1,24h
1,VC,0uM,B2,24h
1,VC,0uM,B3,24h
8.50209041,T,0uM,B1,24h
14.49265704,T,0uM,B2,24h
9.807777423,T,0uM,B3,24h
17.88233324,epiT,0uM,B1,24h
22.63729114,epiT,0uM,B2,24h
33.76278623,epiT,0uM,B3,24h
0.89009957,VC,2uM,B1,24h
0.674302128,VC,2uM,B2,24h
0.786733995,VC,2uM,B3,24h
1.445208213,T,2uM,B1,24h
1.218954716,T,2uM,B2,24h
1.592354608,T,2uM,B3,24h
2.194746791,epiT,2uM,B1,24h
3.366958106,epiT,2uM,B2,24h
4.330851564,epiT,2uM,B3,24h
